Date, Volume(t-1), Open(t-1), High(t-1), Low(t-1), Volume(t-2), Open(t-2), High(t-2), Low(t-2), Volume(t-3), Open(t-3), High(t-3), Low(t-3),target(t)
12/11/15,29158640,116.04,116.94,115.51,46301930,117.64,117.69,115.08,34275420,117.52,118.6,116.86,115.19
11/30/2016,28507780,110.78,112.03,110.07,27054320,111.43,112.47,111.39,11475920,111.13,111.87,110.95,111.6
08/21/2017,27391950,157.86,159.5,156.72,27377960,160.52,160.71,157.84,27607370,161.94,162.51,160.15,157.5
04/27/2018,27850370,164.12,165.73,163.37,28331540,162.62,165.42,162.41,33674960,165.67,166.33,161.22,164.0
04/02/20,44054640,246.5,248.72,239.13,49250500,255.6,262.49,252.0,41994110,250.74,255.52,249.4,240.34
04/01/20,49250500,255.6,262.49,252.0,41994110,250.74,255.52,249.4,51054150,252.75,255.87,247.05,246.5
04/16/2018,25100510,174.78,175.84,173.85,22858840,173.41,175.0,173.04,22401040,172.23,173.92,171.7,175.03
09/05/19,19216820,208.39,209.48,207.32,20059570,206.43,206.98,204.22,21162560,210.16,210.45,207.2,212.0
06/19/2020,24205100,351.41,353.45,349.22,28601630,355.15,355.4,351.09,41357180,351.46,353.2,344.72,354.64
01/10/18,21532200,174.55,175.06,173.41,20523870,174.35,175.61,173.93,23589930,173.44,175.37,173.05,173.16
09/15/2017,23637310,158.99,159.4,158.09,44866280,159.87,159.96,157.91,71574560,162.61,163.96,158.77,158.47
05/01/19,45751160,203.06,203.4,199.11,22010360,204.4,205.97,203.86,18612770,204.9,205.0,202.12,209.88
11/21/2016,28310840,109.72,110.54,109.66,27623150,109.81,110.35,108.83,58724080,106.7,110.23,106.6,110.12
09/02/15,76562170,110.15,111.88,107.36,56111590,112.03,114.53,112.0,53075960,112.17,113.31,111.54,110.23
01/19/2016,79356010,96.2,97.71,95.36,63000140,97.96,100.48,95.74,62285770,100.32,101.19,97.3,98.41
09/25/2015,50061580,113.25,115.5,112.37,35678360,113.63,114.72,113.3,50278030,113.38,114.18,112.52,116.44
02/12/16,49979700,93.79,94.72,92.59,42288790,95.92,96.35,94.1,44282560,94.29,95.94,93.93,94.19
10/14/2015,32970790,110.82,112.45,110.68,30386830,112.73,112.75,111.44,52720620,110.0,112.28,109.49,111.29
11/20/2015,43233950,117.64,119.75,116.76,46559730,115.76,117.49,115.5,27584020,114.92,115.05,113.32,119.2
01/27/2016,71937310,99.93,100.88,98.07,51529980,101.52,101.53,99.21,65648660,98.63,101.46,98.37,96.04
07/21/2017,17170490,151.5,151.74,150.19,20859830,150.48,151.42,149.95,17837130,149.2,150.13,148.67,149.99
11/09/15,33009110,121.11,121.81,120.62,39483400,121.85,122.69,120.18,44829060,123.13,123.82,121.62,120.96
